Code,"Principal Commodity through ACC CALICUT,KARIPUR (COCHIN)",2012-13 (Value in Rs. Crore),2013-14 (Value in Rs. Crore)
99,OTHER COMMODITIES,0.05,0.03
G6,GOLD,1257.23,621.05
G9,JEWELLERY OF GOLD AND OTHER PRECIOUS METALS,0.1,NA
I1,SURGICALS,0.06,NA
J5,CERAMICS AND ALLIED PRODUCTS,0.02,0.03
J7,"BOOKS, PUBLICATIONS AND PRINTING",0.21,0.29
J9,"PAPER, PAPER BOARD AND PRODUCTS",0.19,0.36
K4,"ALL TYPES OF OPTICAL ITEMS (INCL OPTICAL FRAMES, LENSES, SUNGLASSES ETC)",0.09,NA
K6,MOULDED  EXTRUDED GOODS,0.16,0.1
K7,PACKAGING MATERIALS,0.94,0.28
K9,"PLASTIC SHEETS, FILMS, PLATES ETC (INCL PET FILM)",NA,0.04
L4,PRODUCTS OF IRON AND STEEL,0.05,NA
L5,ALUMINIUM AND PRODUCTS MADE OF ALUMINIUM,0.15,0.07
M2,OTHER NON FERROUS METALS AND THEIR PRODUCTS,NA,0.02
M5,ACCUMULATORS AND BATTERIES,0.57,0.36
M6,"HAND TOOLS, CUTTING TOOLS AND IMPLEMENTS MADE OF METALS",0.1,0.18
M7,MACHINE TOOLS,NA,0.19
M8,MEDICAL AND SCIENTIFIC INSTRUMENTS,0.37,1.13
N1,"AIR CONDITION AND REFRIGERATION MACHINERY AND PARTS, INDUSTRIAL FURNACES, WATER",NA,0.04
N4,ELECTRIC MACHINERY AND EQUIPMENT,0.2,0.12
N6,"INDUSTRIAL MACHINERY FOR DAIRY, AGRICULTURE, FOOD PROCESSING, TEXTILES, PAPER, C",0.08,0.47
O1,OTHER MISC. ENGINEERING ITEMS,0.12,0.05
O4,"AIRCRAFTS, SPACECRAFTS AND PARTS",0.28,0.02
O9,COMPUTER HARDWARE  PERIPHERALS,0.28,0.33
P1,CONSUMER ELECTRONICS,1.32,3.07
P2,ELECTRONICS COMPONENTS,0.03,0.24
P3,ELECTRONICS INSTRUMENTS,1.03,2.85
P4,TELECOM INSTRUMENTS,18.85,5.75
R1,RMG OF OTHR TEXTLE MATRL,0.02,0.02
Sub Total for the Port,Sub Total for the Port,1282.49,637.11
% Share Of Total Import of the Port,% Share Of Total Import of the Port,99.99%,99.99%
