Code,Principal Commodity through VISAKHAPATNAM SEA,2012-13 (Value in Rs. Crore),2013-14 (Value in Rs. Crore)
99,OTHER COMMODITIES,251.84,NA
A2,COFFEE,280.07,248.64
B2,CASHEW,495.06,215.95
F1,"COAL,COKE BRIQUITTES ETC",9351.31,6901.03
F2,BULK MINERALS AND ORES,1127.43,1556.99
F4,PROCESSED MINERALS,1160.4,819.9
F5,SULPHER  UNROASTED IRON PYRITES,263.77,240.65
H2,FERTILEZERS CRUDE,433.26,479.54
H3,FERTILEZERS MANUFACTURED,3688.01,3568.98
H5,BULK DRUGS  DRUG INTERMEDIATES,NA,327.2
H6,DYE INTERMEDIATES,NA,382.2
I2,INORGANIC CHEMICALS,1423.4,1590.55
I3,ORGANIC CHEMICALS,1495.15,2252.24
I7,RESIDUAL CHEMICALS AND ALLIED PRODUCTS,573.21,618.83
J3,"GRAPHITE, EXPLOSIVES AND ACCESSORIES",300.05,329.7
J5,CERAMICS AND ALLIED PRODUCTS,NA,312.47
K2,OTHER WOOD AND WOOD PRODUCTS,368.36,462.9
K3,PULP AND WASTE PAPER,344.24,458.07
L3,IRON AND STEEL,2180.34,2140.7
L5,ALUMINIUM AND PRODUCTS MADE OF ALUMINIUM,298.01,NA
N1,"AIR CONDITION AND REFRIGERATION MACHINERY AND PARTS, INDUSTRIAL FURNACES, WATER",266.91,148.13
N3,"CRANES, LIFTS  WINCHES",249.37,170.92
N4,ELECTRIC MACHINERY AND EQUIPMENT,235.19,NA
N6,"INDUSTRIAL MACHINERY FOR DAIRY, AGRICULTURE, FOOD PROCESSING, TEXTILES, PAPER, C",473.99,366.55
N9,OTHER CONSTRUCTION MACHINERY,363.4,NA
O7,"SHIPS, BOATS AND FLOATING STRUCTURES",NA,834.2
P5,PROJECT GOODS,4567.38,4363.27
S5,PETROLEUM: CRUDE,32418.8,35933.47
S6,PETROLEUM PRODUCTS,7018.78,7435.73
Sub Total for the Port,Sub Total for the Port,69627.73,72158.81
% Share Of Total Import of the Port,% Share Of Total Import of the Port,97.10%,97.36%
